username;firstname;lastname;email;Ciudad
123456789miguelgomez;MIGUEL;GOMEZ;mipst1@yopmail.com;URBANA-BUCARAMANGA
123456789andresgomez;ANDRES;GOMEZ;col1mipst1@yopmail.com;URBANA-BUCARAMANGA
123456789pedrosanchez;PEDRO;SANCHEZ;col2mipst1@yopmail.com;URBANA-BUCARAMANGA
2222222222alejandroperez;ALEJANDRO;PEREZ;mipst2@yopmail.com;RURAL-TUNJA
2222222222diógenesgutierrez;DIÓGENES;GUTIERREZ;col1mipst2@yopmail.com;RURAL-TUNJA
2222222222diegocadena;DIEGO;CADENA;col2mipst2@yopmail.com;RURAL-TUNJA
3333333333jorgemendez;JORGE;MENDEZ;mipst3@yopmail.com;URBANA-BARRANQUILLA
3333333333marioroa;MARIO;ROA;col1mipst3@yopmail.com;URBANA-BARRANQUILLA
3333333333albertodiaz;ALBERTO;DIAZ;col2mipst3@yopmail.com;URBANA-BARRANQUILLA
4444444444cristiandaza;CRISTIAN;DAZA;mipst4@yopmail.com;RURAL-NEIVA
4444444444duvanmartinez;DUVAN;MARTINEZ;col1mipst4@yopmail.com;RURAL-NEIVA
4444444444tomasrugeles;TOMAS;RUGELES;col2mipst4@yopmail.com;RURAL-NEIVA
